emoji,description
🕎,"menorah. menorah. candelabrum, religion, candlestick. The Hanukkah menorah or chanukiah is, strictly speaking, a nine-branched candelabrum lit during the eight-day holiday of Hanukkah, as opposed to the seven-branched menorah used in the ancient Temple or as a symbol."
👩🏻‍🔧,"woman mechanic: light skin tone. woman mechanic: light skin tone. light skin tone, electrician, tradesperson, plumber, woman, mechanic. A woman is a female human."
🕍,"synagogue. synagogue. jewish, religion, temple, jew. A temple is a structure reserved for religious or spiritual activities, such as prayer and sacrifice, or analogous rites."
🕌,"mosque. mosque. islam, religion, muslim. Believer of Islam."
🕋,"kaaba. kaaba. islam, religion, muslim. A city of Saudi Arabia, the most important holy city of Islam."
🕊,"dove. dove. peace, fly, bird. Warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings"
👮🏻‍♂️,"man police officer: light skin tone. man police officer: light skin tone. light skin tone, officer, police, man, cop. Any person in the armed services who holds a position of authority or command"
🕉,"om. om. religion, hindu. ""Grilled Cheesus"" is the third episode of the second season of the American television series Glee, and the 25th episode overall."
🔽,"down button. down button. button, arrow, red, down. A mark to indicate a direction or relation"
🔼,"up button. up button. button, arrow, red. A mark to indicate a direction or relation"
👵🏿,"old woman: dark skin tone. old woman: dark skin tone. dark skin tone, old, woman. A woman is a female human."
🔻,"red triangle pointed down. red triangle pointed down. red, geometric, down. A mark to indicate a direction or relation"
👵🏾,"old woman: medium-dark skin tone. old woman: medium-dark skin tone. old, medium-dark skin tone, woman. A woman is a female human."
🔺,"red triangle pointed up. red triangle pointed up. red, geometric"
👵🏽,"old woman: medium skin tone. old woman: medium skin tone. old, woman, medium skin tone. A woman is a female human."
👵🏼,"old woman: medium-light skin tone. old woman: medium-light skin tone. old, medium-light skin tone, woman. A woman is a female human."
🏄🏿‍♂️,"man surfing: dark skin tone. man surfing: dark skin tone. dark skin tone, surfing, man. Sexual maturity is the age or stage when an organism can reproduce."
👵🏻,"old woman: light skin tone. old woman: light skin tone. old, light skin tone, woman. A woman is a female human."
🔹,"small blue diamond. small blue diamond. blue, geometric, diamond"
🔸,"small orange diamond. small orange diamond. orange, geometric, diamond"
🔷,"large blue diamond. large blue diamond. blue, geometric, diamond"
🇫🇷,"France. France. flag. French is a Romance language, belonging to the Indo-European family."
🔶,"large orange diamond. large orange diamond. orange, geometric, diamond"
🔵,"blue circle. blue circle. blue, circle, geometric. Blue color or pigment; resembling the color of the clear sky in the daytime"
🔴,"red circle. red circle. red, circle, geometric. An error; a blunder."
🏋🏿,"person lifting weights: dark skin tone. person lifting weights: dark skin tone. dark skin tone, lifter, weight. Sport is all forms of usually competitive physical activity which, through casual or organised participation, aim to use, maintain or improve physical ability and skills while providing entertainment to participants, and in some cases, spectators."
🇫🇴,Faroe Islands. Faroe Islands. flag. Flag of the Faroe Islands
🔳,"white square button. white square button. button, outlined, square, geometric. Plural form of box."
🏋🏾,"person lifting weights: medium-dark skin tone. person lifting weights: medium-dark skin tone. medium-dark skin tone, lifter, weight. Sport is all forms of usually competitive physical activity which, through casual or organised participation, aim to use, maintain or improve physical ability and skills while providing entertainment to participants, and in some cases, spectators."
🔲,"black square button. black square button. button, square, geometric. Plural form of box."
🏋🏽,"person lifting weights: medium skin tone. person lifting weights: medium skin tone. lifter, weight, medium skin tone. Sport is all forms of usually competitive physical activity which, through casual or organised participation, aim to use, maintain or improve physical ability and skills while providing entertainment to participants, and in some cases, spectators."
🇫🇲,Micronesia. Micronesia. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
🔱,"trident emblem. trident emblem. trident, tool, anchor, ship, emblem. A three-pronged spear-like weapon"
🏋🏼,"person lifting weights: medium-light skin tone. person lifting weights: medium-light skin tone. medium-light skin tone, lifter, weight. Sport is all forms of usually competitive physical activity which, through casual or organised participation, aim to use, maintain or improve physical ability and skills while providing entertainment to participants, and in some cases, spectators."
🔰,"Japanese symbol for beginner. Japanese symbol for beginner. leaf, japanese, tool, beginner, green, chevron, yellow. A heraldic symbol"
🏋🏻,"person lifting weights: light skin tone. person lifting weights: light skin tone. light skin tone, lifter, weight. Sport is all forms of usually competitive physical activity which, through casual or organised participation, aim to use, maintain or improve physical ability and skills while providing entertainment to participants, and in some cases, spectators."
🇫🇰,Falkland Islands. Falkland Islands. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
❤,red heart. red heart. heart. A term for a male partner
❣,"heavy heart exclamation. heavy heart exclamation. exclamation, punctuation, mark. A pass behind or through an object."
🤾🏿‍♀️,"woman playing handball: dark skin tone. woman playing handball: dark skin tone. dark skin tone, woman, handball. A woman is a female human."
👩🏽‍🎓,"woman student: medium skin tone. woman student: medium skin tone. graduate, student, woman, medium skin tone. A woman is a female human."
🔯,"dotted six-pointed star. dotted six-pointed star. fortune, star. Massive balls of plasma"
🇫🇯,Fiji. Fiji. flag. An independent state within the British Commonwealth located on the Fiji Islands
🔮,"crystal ball. crystal ball. fortune, tool, fairy tale, fantasy, crystal, ball. A story about fairies; told to amuse children"
🤷🏿,"person shrugging: dark skin tone. person shrugging: dark skin tone. dark skin tone, indifference, shrug, ignorance, doubt. A gesture involving the shoulders"
🇫🇮,Finland. Finland. flag. National flag
🔭,"telescope. telescope. science, tool. A monocular optical instrument possessing magnification for observing distant objects, especially in astronomy."
🤷🏾,"person shrugging: medium-dark skin tone. person shrugging: medium-dark skin tone. medium-dark skin tone, indifference, shrug, ignorance, doubt. A gesture involving the shoulders"
🔬,"microscope. microscope. science, tool. Magnifier of the image of small objects"
🤷🏽,"person shrugging: medium skin tone. person shrugging: medium skin tone. indifference, shrug, ignorance, medium skin tone, doubt. A gesture involving the shoulders"
🔫,"pistol. pistol. tool, weapon, revolver, handgun, gun. An act of aggression (as one against a person who resists)"
🤷🏼,"person shrugging: medium-light skin tone. person shrugging: medium-light skin tone. medium-light skin tone, indifference, shrug, ignorance, doubt. A gesture involving the shoulders"
🔪,"kitchen knife. kitchen knife. hocho, tool, cooking, weapon, knife. The act of killing."
🤷🏻,"person shrugging: light skin tone. person shrugging: light skin tone. light skin tone, indifference, shrug, ignorance, doubt. A gesture involving the shoulders"
🔩,"nut and bolt. nut and bolt. tool, nut, bolt. Device that can be screwed on a bolt."
🔨,hammer. hammer. tool. A hand tool with a heavy rigid head and a handle; used to deliver an impulsive force by striking
🔧,"wrench. wrench. tool, wrench, spanner. A hand tool"
🔦,"flashlight. flashlight. torch, light, electric, tool. A hand-held light source"
🔥,"fire. fire. tool, flame. A bright yellow, red or bluish light which emerges during combustion processes."
🔤,"input latin letters. input latin letters. input, latin, abc, alphabet, letters. Occurring in a scientific description"
🔣,"input symbols. input symbols. input, ??&%. Graphic representation of a character."
❗,"exclamation mark. exclamation mark. exclamation, punctuation, mark. Feeling that something unexpected has happened."
🔢,"input numbers. input numbers. numbers, input, 1234. A concept of quantity involving zero and units"
🔡,"input latin lowercase. input latin lowercase. input, latin, lowercase, abcd, letters. Occurring in a scientific description"
❕,"white exclamation mark. white exclamation mark. exclamation, outlined, punctuation, mark. Feeling that something unexpected has happened."
🔠,"input latin uppercase. input latin uppercase. input, uppercase, latin, abcd, letters. Smallest linguistic element that may be uttered in isolation with semantic or pragmatic content"
❔,"white question mark. white question mark. question, outlined, punctuation, mark. Doubt, a status between belief and disbelief, involves uncertainty or distrust or lack of sureness of an alleged fact, an action, a motive, or a decision."
❓,"question mark. question mark. question, punctuation, mark. Doubt, a status between belief and disbelief, involves uncertainty or distrust or lack of sureness of an alleged fact, an action, a motive, or a decision."
🙅🏾‍♀️,"woman gesturing NO: medium-dark skin tone. woman gesturing NO: medium-dark skin tone. hand, forbidden, gesture, medium-dark skin tone, woman, prohibited, no. A woman is a female human."
🔟,keycap 10. keycap 10. keycap 10. A concept of quantity involving zero and units
🔞,"no one under eighteen. no one under eighteen. forbidden, underage, not, prohibited, age restriction, 18, no, eighteen. A visible indication."
🔝,"TOP arrow. TOP arrow. up, arrow, top. The upper part of anything"
🔜,"SOON arrow. SOON arrow. soon, arrow"
🔛,"ON! arrow. ON! arrow. on, arrow, mark"
🔚,"END arrow. END arrow. end, arrow. A visible indication."
❎,"cross mark button. cross mark button. square, mark. A visible indication."
❌,"cross mark. cross mark. x, multiply, cancel, multiplication, mark. An x mark is a mark used to indicate the concept of negation as well as affirmation."
🔙,"BACK arrow. BACK arrow. back, arrow. A visible indication."
🔘,"radio button. radio button. radio, button, geometric. A radio button or option button is a graphical control element that allows the user to choose only one of a predefined set of options, an exclusive or."
🔗,link. link. link. Address of a web page or resource.
🔖,bookmark. bookmark. mark. A brief description given for purposes of identification
🔕,"bell with slash. bell with slash. silent, quiet, forbidden, bell, not, mute, prohibited, no. A percussive instrument made of metal or other hard material, typically but not always in the shape of an inverted cup with a flared rim, which resonates when struck."
🔔,"bell. bell. bell. A type of cymbal, tending to be thick and uniformly so, and small"
🔓,"unlocked. unlocked. open, lock, unlock. A detachable lock; has a hinged shackle that can be passed through the staple of a hasp or the links in a chain and then snapped shut"
❇,sparkle. sparkle. sparkle. Massive balls of plasma
🔒,locked. locked. closed. A detachable lock; has a hinged shackle that can be passed through the staple of a hasp or the links in a chain and then snapped shut
🔑,"key. key. password, lock. Metal device shaped in such a way that when it is inserted into the appropriate lock the lock's mechanism can be rotated"
🔐,"locked with key. locked with key. closed, lock, key, secure. The ability of an individual or group to seclude themselves, or information about themselves"
❄,"snowflake. snowflake. cold, snow. Winter is the coldest season of the year in polar climates and temperate climates, between autumn and spring."
👩🏽‍🍳,"woman cook: medium skin tone. woman cook: medium skin tone. cook, chef, woman, medium skin tone. Person who cooks professionally for other people"
🔏,"locked with pen. locked with pen. ink, nib, privacy, lock, pen. A fastening device"
🔎,"right-pointing magnifying glass. right-pointing magnifying glass. tool, search, magnifying, glass. The act of discovering something"
🔍,"left-pointing magnifying glass. left-pointing magnifying glass. tool, search, magnifying, glass. The act of discovering something"
🔌,"electric plug. electric plug. plug, electric, electricity. Receptacle providing a place in a wiring system where current can be taken to run electrical devices"
🔋,"battery. battery. battery. A cell or several cells connected together, each cell containing the essentials for producing voltaic electricity."
🔊,speaker high volume. speaker high volume. loud. An electromechanical device which produces sound
🏃🏽‍♀️,"woman running: medium skin tone. woman running: medium skin tone. racing, running, woman, marathon, medium skin tone. A woman is a female human."
🤦🏿‍♂️,"man facepalming: dark skin tone. man facepalming: dark skin tone. dark skin tone, exasperation, disbelief, facepalm, man. Doubt, a status between belief and disbelief, involves uncertainty or distrust or lack of sureness of an alleged fact, an action, a motive, or a decision."
🔉,speaker medium volume. speaker medium volume. medium. An electromechanical device which produces sound
🔈,speaker low volume. speaker low volume. soft. An electromechanical device which produces sound
🔇,"muted speaker. muted speaker. silent, speaker, quiet, mute. An electromechanical device which produces sound"
🔆,"bright button. bright button. bright, brightness. The luminous flux emitted in a given direction divided by the product of the projected area of the source element perpendicular to the direction and the solid angle containing that direction, i.e. luminous intensity divided by unit area; measured in stilbs or apostilbs"
🔅,"dim button. dim button. low, dim, brightness. The luminous flux emitted in a given direction divided by the product of the projected area of the source element perpendicular to the direction and the solid angle containing that direction, i.e. luminous intensity divided by unit area; measured in stilbs or apostilbs"
🔄,"anticlockwise arrows button. anticlockwise arrows button. withershins, counterclockwise, arrow, anticlockwise. Update of a display."
🔃,"clockwise vertical arrows. clockwise vertical arrows. clockwise, reload, arrow. A gradient brush option that makes the gradient repeat."
🔂,"repeat single button. repeat single button. clockwise, once, arrow. An interval of space or time in which one set of events or phenomena is completed."
🔁,"repeat button. repeat button. clockwise, repeat, arrow. Possible direction of a circular motion"
🔀,"shuffle tracks button. shuffle tracks button. arrow, crossed. A mark to indicate a direction or relation"
✴,eight-pointed star. eight-pointed star. star. Massive balls of plasma
✳,eight-spoked asterisk. eight-spoked asterisk. asterisk. Massive balls of plasma
🤸‍♂️,"man cartwheeling. man cartwheeling. gymnastics, cartwheel, man. A sport that involves exercises intended to display strength and balance and agility"
🇬🇾,Guyana. Guyana. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
✨,"sparkles. sparkles. star, sparkle. Massive balls of plasma"
🇬🇼,Guinea-Bissau. Guinea-Bissau. flag. Country in Western Africa. Official name: Republic of Guinea-Bissau.
👶🏿,"baby: dark skin tone. baby: dark skin tone. dark skin tone, young, baby. Young child"
👶🏾,"baby: medium-dark skin tone. baby: medium-dark skin tone. medium-dark skin tone, young, baby. Young child"
🇬🇺,Guam. Guam. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
👶🏽,"baby: medium skin tone. baby: medium skin tone. young, baby, medium skin tone. Young child"
👶🏼,"baby: medium-light skin tone. baby: medium-light skin tone. medium-light skin tone, young, baby. Young child"
👶🏻,"baby: light skin tone. baby: light skin tone. light skin tone, young, baby. Young child"
💁‍♀️,"woman tipping hand. woman tipping hand. sassy, woman, tipping hand. A woman is a female human."
✡,"star of David. star of David. david, jewish, religion, star, jew. Massive balls of plasma"
🇬🇹,Guatemala. Guatemala. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
🇬🇸,South Georgia & South Sandwich Islands. South Georgia & South Sandwich Islands. flag. British overseas territory in the South Atlantic/Southern Ocean
🇬🇷,Greece. Greece. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
🇬🇶,Equatorial Guinea. Equatorial Guinea. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
🇬🇵,Guadeloupe. Guadeloupe. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
🏌🏿,"person golfing: dark skin tone. person golfing: dark skin tone. dark skin tone, ball, golf. Sport is all forms of usually competitive physical activity which, through casual or organised participation, aim to use, maintain or improve physical ability and skills while providing entertainment to participants, and in some cases, spectators."
🇬🇳,Guinea. Guinea. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
🏌🏾,"person golfing: medium-dark skin tone. person golfing: medium-dark skin tone. medium-dark skin tone, ball, golf. Sport is all forms of usually competitive physical activity which, through casual or organised participation, aim to use, maintain or improve physical ability and skills while providing entertainment to participants, and in some cases, spectators."
🇬🇲,Gambia. Gambia. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
🏌🏽,"person golfing: medium skin tone. person golfing: medium skin tone. ball, golf, medium skin tone. Sport is all forms of usually competitive physical activity which, through casual or organised participation, aim to use, maintain or improve physical ability and skills while providing entertainment to participants, and in some cases, spectators."
🇬🇱,Greenland. Greenland. flag. A large self-governing island in North America.
✝,"latin cross. latin cross. religion, christian, cross. A religious person who believes Jesus is the Christ and who is a member of a Christian denomination"
🏌🏼,"person golfing: medium-light skin tone. person golfing: medium-light skin tone. medium-light skin tone, ball, golf. Sport is all forms of usually competitive physical activity which, through casual or organised participation, aim to use, maintain or improve physical ability and skills while providing entertainment to participants, and in some cases, spectators."
🏌🏻,"person golfing: light skin tone. person golfing: light skin tone. light skin tone, ball, golf. Sport is all forms of usually competitive physical activity which, through casual or organised participation, aim to use, maintain or improve physical ability and skills while providing entertainment to participants, and in some cases, spectators."
🏊🏼‍♂️,"man swimming: medium-light skin tone. man swimming: medium-light skin tone. medium-light skin tone, swim, man. Sexual maturity is the age or stage when an organism can reproduce."
💇🏽‍♂️,"man getting haircut: medium skin tone. man getting haircut: medium skin tone. medium skin tone, man, haircut. Way hair is cut."
🤸🏿,"person cartwheeling: dark skin tone. person cartwheeling: dark skin tone. dark skin tone, gymnastics, cartwheel. A sport that involves exercises intended to display strength and balance and agility"
🇬🇮,Gibraltar. Gibraltar. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
🤸🏾,"person cartwheeling: medium-dark skin tone. person cartwheeling: medium-dark skin tone. gymnastics, medium-dark skin tone, cartwheel. A sport that involves exercises intended to display strength and balance and agility"
🇬🇭,Ghana. Ghana. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
🤸🏽,"person cartwheeling: medium skin tone. person cartwheeling: medium skin tone. gymnastics, cartwheel, medium skin tone. A sport that involves exercises intended to display strength and balance and agility"
🇬🇬,Guernsey. Guernsey. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
🤸🏼,"person cartwheeling: medium-light skin tone. person cartwheeling: medium-light skin tone. gymnastics, medium-light skin tone, cartwheel. A sport that involves exercises intended to display strength and balance and agility"
🇬🇫,French Guiana. French Guiana. flag. Overseas French department
🤸🏻,"person cartwheeling: light skin tone. person cartwheeling: light skin tone. light skin tone, gymnastics, cartwheel. A sport that involves exercises intended to display strength and balance and agility"
✖,"heavy multiplication x. heavy multiplication x. x, multiply, cancel, multiplication. The process of computing the sum of a number with itself a specified number of times, or any other analogous binary operation that combines other mathematical objects.<!--"
🇬🇪,Georgia. Georgia. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
👩‍🚒,"woman firefighter. woman firefighter. firetruck, firefighter, woman. A woman is a female human."
✔,"heavy check mark. heavy check mark. check, mark. A check mark, checkmark or tick is a mark used to indicate the concept ""yes"" applies to me"")."
✒,"black nib. black nib. nib, pen. Tip of a pen."
🇬🇩,Grenada. Grenada. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
🇬🇧,"United Kingdom. United Kingdom. flag. A country in Western Europe (comprising Wales, Scotland, England and Northern Ireland) with the capital London."
🇬🇦,Gabon. Gabon. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
✏,pencil. pencil. pencil. Graphism of symbols such as letters that express some meaning.
✍,"writing hand. writing hand. hand, write. Many paper size standards conventions have existed at different times and in different countries."
✌,"victory hand. victory hand. v, hand, victory. One of the long extremities of the hand, sometimes excluding the thumb."
✋,"raised hand. raised hand. hand. One of the long extremities of the hand, sometimes excluding the thumb."
✊,"raised fist. raised fist. hand, fist, punch, clenched. One of the long extremities of the hand, sometimes excluding the thumb."
👩🏽‍🌾,"woman farmer: medium skin tone. woman farmer: medium skin tone. farmer, gardener, woman, rancher, medium skin tone. Person who grows then harvests food"
✉,"envelope. envelope. email, letter. Communication is the activity of conveying information through the exchange of ideas, feelings, intentions, attitudes, expectations, perceptions or commands, as by speech, non-verbal gestures, writings, behavior and possibly by other means such as electromagnetic, chemical or physical phenomena and smell."
✈,"airplane. airplane. airplane, aeroplane. A facility consisting of the means and equipment necessary for the movement of passengers or goods"
🚴🏿,"person biking: dark skin tone. person biking: dark skin tone. dark skin tone, bicycle, cyclist, biking. Sport is all forms of usually competitive physical activity which, through casual or organised participation, aim to use, maintain or improve physical ability and skills while providing entertainment to participants, and in some cases, spectators."
🚴🏾,"person biking: medium-dark skin tone. person biking: medium-dark skin tone. bicycle, cyclist, medium-dark skin tone, biking. Sport is all forms of usually competitive physical activity which, through casual or organised participation, aim to use, maintain or improve physical ability and skills while providing entertainment to participants, and in some cases, spectators."
✅,"white heavy check mark. white heavy check mark. check, mark. A check mark, checkmark or tick is a mark used to indicate the concept ""yes"" applies to me"")."
🚴🏽,"person biking: medium skin tone. person biking: medium skin tone. bicycle, cyclist, biking, medium skin tone. Sport is all forms of usually competitive physical activity which, through casual or organised participation, aim to use, maintain or improve physical ability and skills while providing entertainment to participants, and in some cases, spectators."
🚴🏼,"person biking: medium-light skin tone. person biking: medium-light skin tone. bicycle, cyclist, medium-light skin tone, biking. Sport is all forms of usually competitive physical activity which, through casual or organised participation, aim to use, maintain or improve physical ability and skills while providing entertainment to participants, and in some cases, spectators."
👨🏾‍🔬,"man scientist: medium-dark skin tone. man scientist: medium-dark skin tone. mathematician, engineer, medium-dark skin tone, physicist, chemist, biologist, scientist, man. Professional practitioner of engineering"
🚴🏻,"person biking: light skin tone. person biking: light skin tone. bicycle, light skin tone, cyclist, biking. Sport is all forms of usually competitive physical activity which, through casual or organised participation, aim to use, maintain or improve physical ability and skills while providing entertainment to participants, and in some cases, spectators."
👩‍🚀,"woman astronaut. woman astronaut. rocket, woman, astronaut. A woman is a female human."
✂,"scissors. scissors. cutting, tool. Many paper size standards conventions have existed at different times and in different countries."
👩🏿‍🚒,"woman firefighter: dark skin tone. woman firefighter: dark skin tone. dark skin tone, firetruck, firefighter, woman. A woman is a female human."
🙍🏽‍♀️,"woman frowning: medium skin tone. woman frowning: medium skin tone. frowning, gesture, woman, medium skin tone. A woman is a female human."
👨🏾‍🔧,"man mechanic: medium-dark skin tone. man mechanic: medium-dark skin tone. electrician, tradesperson, plumber, medium-dark skin tone, mechanic, man. A skilled worker capable of building or repairing machinery. A mechanic can be compared to a technician, the distinction being that the technician is stronger in theory, the mechanic stronger in hands-on experience."
🙋🏻‍♀️,"woman raising hand: light skin tone. woman raising hand: light skin tone. light skin tone, gesture, woman, raising hand. A woman is a female human."
🙆‍♂️,"man gesturing OK. man gesturing OK. hand, ok, gesture, man. That part of the fore limb below the forearm or wrist in primates (including humans)."
🚣🏼‍♀️,"woman rowing boat: medium-light skin tone. woman rowing boat: medium-light skin tone. rowboat, medium-light skin tone, woman, boat. A woman is a female human."
🚴🏻‍♂️,"man biking: light skin tone. man biking: light skin tone. bicycle, light skin tone, cyclist, biking, man. Human-powered, pedal-driven two-wheel vehicle"
👩🏿‍🚀,"woman astronaut: dark skin tone. woman astronaut: dark skin tone. dark skin tone, rocket, woman, astronaut. A woman is a female human."
🏋🏼‍♀️,"woman lifting weights: medium-light skin tone. woman lifting weights: medium-light skin tone. weight lifter, medium-light skin tone, woman"
👩‍❤️‍👩,"couple with heart: woman, woman. couple with heart: woman, woman. love, couple, woman. A woman is a female human."
👩‍❤️‍👨,"couple with heart: woman, man. couple with heart: woman, man. love, couple, woman, man. A woman is a female human."
💁🏿‍♀️,"woman tipping hand: dark skin tone. woman tipping hand: dark skin tone. dark skin tone, sassy, woman, tipping hand. A woman is a female human."
🇭🇺,Hungary. Hungary. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
🤷🏼‍♀️,"woman shrugging: medium-light skin tone. woman shrugging: medium-light skin tone. medium-light skin tone, woman, indifference, shrug, ignorance, doubt. A woman is a female human."
🇭🇹,Haiti. Haiti. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
🇭🇷,Croatia. Croatia. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
🇭🇳,"Honduras. Honduras. flag. This national flag of Honduras was adopted on March 7, 1866, based on the flag of the Federal Republic of Central America."
🇭🇲,Heard & McDonald Islands. Heard & McDonald Islands. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
🇭🇰,Hong Kong SAR China. Hong Kong SAR China. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
🤾🏿‍♂️,"man playing handball: dark skin tone. man playing handball: dark skin tone. dark skin tone, man, handball. A game played in a walled court or against a single wall by two or four players who strike a rubber ball with their hands"
🤹🏿,"person juggling: dark skin tone. person juggling: dark skin tone. dark skin tone, skill, multitask, juggle, balance. A skill is the learned ability to carry out a task with pre-determined results often within a given amount of time, energy, or both."
🤹🏾,"person juggling: medium-dark skin tone. person juggling: medium-dark skin tone. skill, multitask, juggle, medium-dark skin tone, balance. A skill is the learned ability to carry out a task with pre-determined results often within a given amount of time, energy, or both."
🤹🏽,"person juggling: medium skin tone. person juggling: medium skin tone. skill, multitask, juggle, balance, medium skin tone. A skill is the learned ability to carry out a task with pre-determined results often within a given amount of time, energy, or both."
🤹🏼,"person juggling: medium-light skin tone. person juggling: medium-light skin tone. skill, multitask, juggle, medium-light skin tone, balance. A skill is the learned ability to carry out a task with pre-determined results often within a given amount of time, energy, or both."
🤹🏻,"person juggling: light skin tone. person juggling: light skin tone. skill, multitask, light skin tone, juggle, balance. A skill is the learned ability to carry out a task with pre-determined results often within a given amount of time, energy, or both."
🙅🏾‍♂️,"man gesturing NO: medium-dark skin tone. man gesturing NO: medium-dark skin tone. hand, forbidden, gesture, medium-dark skin tone, prohibited, no, man. That part of the fore limb below the forearm or wrist in primates (including humans)."
🚵🏿,"person mountain biking: dark skin tone. person mountain biking: dark skin tone. dark skin tone, bicycle, cyclist, bike, mountain, bicyclist. Sport is all forms of usually competitive physical activity which, through casual or organised participation, aim to use, maintain or improve physical ability and skills while providing entertainment to participants, and in some cases, spectators."
🚵🏾,"person mountain biking: medium-dark skin tone. person mountain biking: medium-dark skin tone. bicycle, cyclist, bike, mountain, medium-dark skin tone, bicyclist. Sport is all forms of usually competitive physical activity which, through casual or organised participation, aim to use, maintain or improve physical ability and skills while providing entertainment to participants, and in some cases, spectators."
🚵🏽,"person mountain biking: medium skin tone. person mountain biking: medium skin tone. bicycle, cyclist, bike, mountain, bicyclist, medium skin tone. Sport is all forms of usually competitive physical activity which, through casual or organised participation, aim to use, maintain or improve physical ability and skills while providing entertainment to participants, and in some cases, spectators."
🚵🏼,"person mountain biking: medium-light skin tone. person mountain biking: medium-light skin tone. bicycle, cyclist, bike, mountain, medium-light skin tone, bicyclist. Sport is all forms of usually competitive physical activity which, through casual or organised participation, aim to use, maintain or improve physical ability and skills while providing entertainment to participants, and in some cases, spectators."
🚵🏻,"person mountain biking: light skin tone. person mountain biking: light skin tone. bicycle, light skin tone, cyclist, bike, mountain, bicyclist. Sport is all forms of usually competitive physical activity which, through casual or organised participation, aim to use, maintain or improve physical ability and skills while providing entertainment to participants, and in some cases, spectators."
📿,"prayer beads. prayer beads. beads, religion, prayer, necklace, clothing. Member of religious order."
📽,"film projector. film projector. movie, video, film, cinema, projector. An opto-mechanical device for displaying motion pictures by projecting them on a projection screen (Movie projector for projection of moving images from film)."
📼,"videocassette. videocassette. tape, vhs, video. Tape used to record videos."
📻,radio. radio. video. A transistor is a semiconductor device used to amplify and switch electronic signals and electrical power.
👨‍👦‍👦,"family: man, boy, boy. family: man, boy, boy. family, boy, man. Young male human"
📺,"television. television. tv, video. Engineering physics is the study of the combined disciplines of physics, engineering and mathematics in order to develop an understanding of the interrelationships of these three disciplines."
🏃🏽‍♂️,"man running: medium skin tone. man running: medium skin tone. racing, running, marathon, medium skin tone, man. Any long and arduous undertaking"
👳🏽‍♀️,"woman wearing turban: medium skin tone. woman wearing turban: medium skin tone. turban, woman, medium skin tone. A woman is a female human."
📹,"video camera. video camera. camera, video. A digital video device that is used for recording moving images and audio in a digital format."
📸,"camera with flash. camera with flash. flash, camera, video. A digital video device that is used for recording moving images and audio in a digital format."
📷,camera. camera. video. A digital video device that is used for recording moving images and audio in a digital format.
📶,"antenna bars. antenna bars. cell, phone, telephone, mobile, bar, signal, antenna. The 802.11b standard for wireless networking. A standard for delivering digital information over high-frequency, wireless local area networks."
📵,"no mobile phones. no mobile phones. cell, phone, telephone, mobile, forbidden, not, prohibited, no. The iPhone is a multimedia and internet-enabled mobile phone that was released by Apple Computer, Inc on 29 June, 2007."
📴,"mobile phone off. mobile phone off. cell, phone, telephone, mobile, off. A portable electronic device used for calling people."
📳,"vibration mode. vibration mode. cell, phone, vibration, telephone, mobile, mode. A portable electronic device used for calling people."
📲,"mobile phone with arrow. mobile phone with arrow. cell, phone, telephone, mobile, call, arrow, receive. The iPhone is a multimedia and internet-enabled mobile phone that was released by Apple Computer, Inc on 29 June, 2007."
📱,"mobile phone. mobile phone. cell, phone, telephone, mobile. The iPhone is a multimedia and internet-enabled mobile phone that was released by Apple Computer, Inc on 29 June, 2007."
👱🏻‍♀️,"blond-haired woman: light skin tone. blond-haired woman: light skin tone. light skin tone, woman, blonde. A woman is a female human."
📰,"newspaper. newspaper. news, paper. A daily or weekly publication on folded sheets; contains news and articles and advertisements"
🤽🏽‍♀️,"woman playing water polo: medium skin tone. woman playing water polo: medium skin tone. woman, water polo, medium skin tone. A woman is a female human."
📯,"postal horn. postal horn. post, postal, horn. A musical instrument is an instrument created or adapted to make musical sounds."
📮,"postbox. postbox. mail, mailbox. A flat (usually rectangular) container for a letter, thin package, etc."
📭,"open mailbox with lowered flag. open mailbox with lowered flag. lowered, mail, open, postbox, mailbox. Electronic mail, most commonly referred to as email or e-mail since, is a method of exchanging digital messages from an author to one or more recipients."
